epoch,train_loss,val_loss,val_accuracy,gold_val_loss,gold_val_accuracy,selection_source,selection_accuracy
1,0.3602965005478822,0.2152094255653964,0.916110183639399,0.29707707742849987,0.8866666666666667,gold,0.8866666666666667
2,0.3203831627885571,0.18532234264882858,0.9273789649415692,0.32142336169878644,0.85,gold,0.85
3,0.2878924232437245,0.18849123607643062,0.922787979966611,0.34886051426331205,0.8533333333333334,gold,0.8533333333333334
4,0.2840628508917321,0.1715388070661357,0.9303005008347245,0.3554843274752299,0.8733333333333333,gold,0.8733333333333333
5,0.2731173577006573,0.17580515181704834,0.9257095158597662,0.3602680762608846,0.8433333333333334,gold,0.8433333333333334
6,0.2622276738665385,0.19121107180448924,0.9181969949916527,0.36197513898213707,0.8766666666666667,gold,0.8766666666666667
7,0.25748645399116493,0.13377886842656414,0.9474123539232053,0.2740989089012146,0.8933333333333333,gold,0.8933333333333333
8,0.2540661117482143,0.17219073751409583,0.9332220367278798,0.34943262139956155,0.8533333333333334,gold,0.8533333333333334
9,0.2508106069797027,0.15922007999555496,0.9353088480801336,0.3378157989184062,0.8466666666666667,gold,0.8466666666666667
10,0.24069774646671513,0.11764756389870269,0.9536727879799666,0.2961448574066162,0.8766666666666667,gold,0.8766666666666667
