epoch,train_loss,val_loss,val_accuracy,gold_val_loss,gold_val_accuracy,selection_source,selection_accuracy
1,0.3909610184852437,0.2803507063394795,0.8889816360601002,0.28624555706977844,0.8766666666666667,gold,0.8766666666666667
2,0.3156883525311982,0.24974245323064131,0.9010851419031719,0.2695270852247874,0.87,gold,0.87
3,0.29005841705716523,0.23846574513263416,0.9065108514190318,0.281890087723732,0.87,gold,0.87
4,0.28431082562344395,0.21964864666652997,0.9136060100166945,0.26126100738843283,0.89,gold,0.89
5,0.28257373462350077,0.22145301650879975,0.914440734557596,0.27514403422673545,0.8766666666666667,gold,0.8766666666666667
6,0.27431571185412384,0.21360392415762347,0.9156928213689483,0.25331345419089,0.89,gold,0.89
7,0.2684283521116803,0.2033942819437718,0.9207011686143572,0.2645530613263448,0.8766666666666667,gold,0.8766666666666667
8,0.26826250956318237,0.20399865709581042,0.9202838063439065,0.26766822397708895,0.8766666666666667,gold,0.8766666666666667
9,0.27016939506014115,0.19775461655526805,0.9215358931552587,0.2638513100147247,0.88,gold,0.88
10,0.2634158621637549,0.19535417096045657,0.922787979966611,0.26219174087047575,0.8833333333333333,gold,0.8833333333333333
